Name,Stop ID,Service Provider Name,Latitude,Longitude,ROUTE ID,Route Name,Line Number,Line Colour,Colour Hex Code,City
SRI RAYA,SBK28,Rapid KL,3.062270,101.772900,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000,Kuala Lumpur
BANDAR TUN HUSSIEN ONN,SBK29,Rapid KL,3.048220,101.775110,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000,Kuala Lumpur
BATU 11 CHERAS,SBK30,Rapid KL,3.041340,101.773380,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000,Kuala Lumpur
BUKIT DUKUNG,SBK31,Rapid KL,3.026410,101.771070,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000,Kuala Lumpur
SUNGAI JERNIH,SBK33,Rapid KL,3.000950,101.783860,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000,Kuala Lumpur
STADIUM KAJANG,SBK34,Rapid KL,2.994510,101.786340,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000,Kuala Lumpur
KAJANG,SBK35,Rapid KL,2.982780,101.790280,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000,Kuala Lumpur
SENTUL TIMUR,SP1,Rapid KL,3.185821,101.695335,SP,Sri Petaling Line,4,Maroon,#721422,Kuala Lumpur
PUDU,SP10,Rapid KL,3.134920,101.712011,SP,Sri Petaling Line,4,Maroon,#721422,Kuala Lumpur
CHAN SOW LIN,SP11,Rapid KL,3.128025,101.715546,SP,Sri Petaling Line,4,Maroon,#721422,Kuala Lumpur
CHERAS,SP12,Rapid KL,3.112747,101.714213,SP,Sri Petaling Line,4,Maroon,#721422,Kuala Lumpur
SALAK SELATAN,SP13,Rapid KL,3.102009,101.706273,SP,Sri Petaling Line,4,Maroon,#721422,Kuala Lumpur
BANDAR TUN RAZAK,SP14,Rapid KL,3.089626,101.712414,SP,Sri Petaling Line,4,Maroon,#721422,Kuala Lumpur
BANDAR TASIK SELATAN,SP15,Rapid KL,3.076067,101.711311,SP,Sri Petaling Line,4,Maroon,#721422,Kuala Lumpur
SUNGAI BESI,SP16,Rapid KL,3.063949,101.707987,SP,Sri Petaling Line,4,Maroon,#721422,Kuala Lumpur
BUKIT JALIL,SP17,Rapid KL,3.058148,101.692216,SP,Sri Petaling Line,4,Maroon,#721422,Kuala Lumpur
SRI PETALING,SP18,Rapid KL,3.061533,101.687067,SP,Sri Petaling Line,4,Maroon,#721422,Kuala Lumpur
AWAN BESAR,SP19,Rapid KL,3.062094,101.670606,SP,Sri Petaling Line,4,Maroon,#721422,Kuala Lumpur
SENTUL,SP2,Rapid KL,3.178591,101.695510,SP,Sri Petaling Line,4,Maroon,#721422,Kuala Lumpur
MUHIBBAH,SP20,Rapid KL,3.061934,101.662791,SP,Sri Petaling Line,4,Maroon,#721422,Kuala Lumpur
ALAM SUTERA,SP21,Rapid KL,3.054838,101.656693,SP,Sri Petaling Line,4,Maroon,#721422,Kuala Lumpur
KINRARA,SP22,Rapid KL,3.050456,101.644155,SP,Sri Petaling Line,4,Maroon,#721422,Kuala Lumpur
IOI PUCHONG JAYA,SP24,Rapid KL,3.048131,101.620982,SP,Sri Petaling Line,4,Maroon,#721422,Kuala Lumpur
PUSAT BANDAR PUCHONG,SP25,Rapid KL,3.033284,101.616120,SP,Sri Petaling Line,4,Maroon,#721422,Kuala Lumpur
TAMAN PERINDUSTRIAN PUCHONG (TPP),SP26,Rapid KL,3.022811,101.613433,SP,Sri Petaling Line,4,Maroon,#721422,Kuala Lumpur
BANDAR PUTERI,SP27,Rapid KL,3.017065,101.612829,SP,Sri Petaling Line,4,Maroon,#721422,Kuala Lumpur
PUCHONG PERDANA,SP28,Rapid KL,3.007852,101.605253,SP,Sri Petaling Line,4,Maroon,#721422,Kuala Lumpur
